Id,Timestamp,ExeInfo,ExeInfoDescription,ExeTimestamp,SidType,Sid,UserName,UserId,AppId,EndTime,DurationMs
1096,2026-07-14 07:26:00,svchost.exe,[LocalService] [FontCache],11/12/2104 20:36:41 +00:00,LocalService,S-1-5-19,,6,91,2026-07-14 07:26:00,3643458
1097,2026-07-14 07:26:00,svchost.exe,[NetSvcs] [iphlpsvc],11/12/2104 20:36:41 +00:00,LocalSystem,S-1-5-18,,4,80,2026-07-14 07:26:00,3643356
1098,2026-07-14 07:26:00,svchost.exe,[LocalSystemNetworkRestricted] [PrintDeviceConfigurationService,11/12/2104 20:36:41 +00:00,LocalSystem,S-1-5-18,,4,173,2026-07-14 06:28:00,163357
1099,2026-07-14 07:26:00,svchost.exe,[LocalService] [nsi],11/12/2104 20:36:41 +00:00,LocalService,S-1-5-19,,6,5,2026-07-14 07:26:00,3643458
1100,2026-07-14 07:26:00,fontdrvhost.exe,,09/24/2023 06:43:05 +00:00,LocalSystem,S-1-5-18,,4,107,2026-07-14 07:26:00,1663255
1101,2026-07-14 07:26:00,svchost.exe,[LocalSystemNetworkRestricted] [PcaSvc],11/12/2104 20:36:41 +00:00,LocalSystem,S-1-5-18,,4,119,2026-07-14 07:26:00,2640113
1102,2026-07-14 07:26:00,Microsoft.AAD.BrokerPlugin_1000.19580.1000.0_neutral_neutral_cw5n1h2txyewy!App!backgroundTaskHost.exe!2018/10/16:16:40:03!19e1d!,,,UnknownOrUserSid,S-1-5-21-2395961029-2893071609-3470587398-1000,,60,160,2026-07-14 07:26:00,343376
1103,2026-07-14 07:26:00,svchost.exe,[netsvcs] [WpnService],11/12/2104 20:36:41 +00:00,LocalSystem,S-1-5-18,,4,36,2026-07-14 07:26:00,3643356
1104,2026-07-14 07:26:00,svchost.exe,[LocalServiceNetworkRestricted] [TimeBrokerSvc],11/12/2104 20:36:41 +00:00,LocalService,S-1-5-19,,6,110,2026-07-14 07:26:00,3643356
1105,2026-07-14 07:26:00,svchost.exe,[netsvcs] [seclogon],11/12/2104 20:36:41 +00:00,LocalSystem,S-1-5-18,,4,1178,2026-07-14 07:26:00,1200123
1106,2026-07-14 07:26:00,ShellHost.exe,,02/29/1996 18:02:02 +00:00,UnknownOrUserSid,S-1-5-21-2395961029-2893071609-3470587398-1000,,60,152,2026-07-14 07:26:00,3283376
1107,2026-07-14 07:26:00,wininit.exe,,06/25/2005 08:00:21 +00:00,LocalSystem,S-1-5-18,,4,69,2026-07-14 07:26:00,3643356
1108,2026-07-14 07:26:00,svchost.exe,[utcsvc],11/12/2104 20:36:41 +00:00,LocalSystem,S-1-5-18,,4,53,2026-07-14 07:26:00,3583358
1109,2026-07-14 07:26:00,svchost.exe,[netsvcs] [IKEEXT],11/12/2104 20:36:41 +00:00,LocalSystem,S-1-5-18,,4,41,2026-07-14 07:26:00,3643356
1110,2026-07-14 07:26:00,svchost.exe,[LocalService] [DispBrokerDesktopSvc],11/12/2104 20:36:41 +00:00,LocalService,S-1-5-19,,6,72,2026-07-14 07:26:00,3643356
